日付,時刻,XP,歩いた距離,つかまえたポケモン,訪れたポケストップ,トータルXP,ファイルid
2024/04/01,09:10:48,"940,696","15,900.9","242,738","191,215","121,940,696","1712203713"
2024/04/01,09:10:48,"940,696","15,900.9","242,738","191,215","121,940,696","1712206476"
2024/04/01,09:10:48,"940,696","15,900.9","242,738","191,215","121,940,696","1712207642"
